"title","artist","link"
"Portrait of Man in a Cap (1950)","Thomas Murray","https://collections.ed.ac.uk/art/record/21073?highlight=*:*"
"Reclining Male Nude (1949)","Zygmunt Bukowski","https://collections.ed.ac.uk/art/record/21324?highlight=*:*"
"Untitled - Snowy Landscape (1962)","Geoffrey J Roper","https://collections.ed.ac.uk/art/record/99368?highlight=*:*"
"Untitled","Marjorie-Ann Ancell","https://collections.ed.ac.uk/art/record/21612?highlight=*:*"
"Plate","Emma Gillies","https://collections.ed.ac.uk/art/record/53670?highlight=*:*"
"Study for picture 'Waking of Brynhildr' (1897)","Pavlov Chailly","https://collections.ed.ac.uk/art/record/50472?highlight=*:*"
"Madonna of the Roses (2007)","Rachael Cawley","https://collections.ed.ac.uk/art/record/99968?highlight=*:*"
"Standing Male Nudes (1950)","Sheila Robertson","https://collections.ed.ac.uk/art/record/20808?highlight=*:*"
"Of Christine Clay (1964)","Connie Dearness","https://collections.ed.ac.uk/art/record/53583?highlight=*:*"
"Seated Male Nude (1958)","Elizabeth Meldrum","https://collections.ed.ac.uk/art/record/21158?highlight=*:*"
"Untitled - Woman and Man (1981)","Kirsty A Kirkwood","https://collections.ed.ac.uk/art/record/99439?highlight=*:*"
"Unknown (1957)","Peter Crorkin","https://collections.ed.ac.uk/art/record/50508?highlight=*:*"
"Unknown","Fiona Hewitt","https://collections.ed.ac.uk/art/record/53599?highlight=*:*"
"Unknown","Unknown","https://collections.ed.ac.uk/art/record/50382?highlight=*:*"
"Untitled (1986)","Andrew Arnott","https://collections.ed.ac.uk/art/record/21626?highlight=*:*"
"Portrait of a Man (1955)","Alexander S Campbell","https://collections.ed.ac.uk/art/record/21316?highlight=*:*"
"Armorial panel from left tower of Mar's Wark, Stirling (Pre 1893)","Unknown","https://collections.ed.ac.uk/art/record/20555?highlight=*:*"
"Self Portrait","Jacqueline A N Stieger","https://collections.ed.ac.uk/art/record/22699?highlight=*:*"
"Unknown (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21807?highlight=*:*"
"March Morning (Circa 1956)","Peter G. Collins","https://collections.ed.ac.uk/art/record/22648?highlight=*:*"
"Charioteer facing right",NA,"https://collections.ed.ac.uk/art/record/20660?highlight=*:*"
"Orange Abstract (1987)","Alistair Banks","https://collections.ed.ac.uk/art/record/22724?highlight=*:*"
"Bank of the Amstel, Amsterdam (30 Aug 1948)","Marjorie Wallace","https://collections.ed.ac.uk/art/record/50448?highlight=*:*"
"Untitled (1974)","Fiona Carlisle","https://collections.ed.ac.uk/art/record/21594?highlight=*:*"
"Untitled (1989)","Joanne Leonie Milne","https://collections.ed.ac.uk/art/record/21909?highlight=*:*"
"Portrait of a Man (1959)","Jean I. Beattie","https://collections.ed.ac.uk/art/record/20920?highlight=*:*"
"Portrait of a Young Woman (1958)","Richard McNeill","https://collections.ed.ac.uk/art/record/20890?highlight=*:*"
"San Gimignano from the Fields (1989)","Jane V Hyslop","https://collections.ed.ac.uk/art/record/21693?highlight=*:*"
"Architectural Scene","Joanne Leonie Milne","https://collections.ed.ac.uk/art/record/21451?highlight=*:*"
"Untitled","Kirkland Main","https://collections.ed.ac.uk/art/record/99988?highlight=*:*"
"Standing Male Nude","A Wrever","https://collections.ed.ac.uk/art/record/20859?highlight=*:*"
"Dish","Emma Gillies","https://collections.ed.ac.uk/art/record/53723?highlight=*:*"
"Vision in Time III (2006)","Wilhelmina Barns-Graham CBE HRSA HRSW","https://collections.ed.ac.uk/art/record/54752?highlight=*:*"
"Evening Jaipur No.2","Ernest S. Lumsden","https://collections.ed.ac.uk/art/record/21750?highlight=*:*"
"Standing Male Nude with Staff (Circa 1952)","David Michie","https://collections.ed.ac.uk/art/record/21035?highlight=*:*"
"Reclining Female Nude (1955)","Fiona C MacCormick","https://collections.ed.ac.uk/art/record/21014?highlight=*:*"
"Self Portrait (Nov 1981)","Richard Wright","https://collections.ed.ac.uk/art/record/20771?highlight=*:*"
"View of a Street and Market (1948)","Marjorie Wallace","https://collections.ed.ac.uk/art/record/20853?highlight=*:*"
"Unknown","Unknown","https://collections.ed.ac.uk/art/record/50419?highlight=*:*"
